FILIAL	SEQ. SKU(s)	DESCRIÇÃO	EAN	UND EAN	DUN	UND DUN
201	02.03.0013	PAO DE MINI SONHO CONGELADO - 100UN - CX 2,5KG	7898957727209	-	17898957727206	CAIXA
201	02.03.0039	BAGUETE CALABRESA COM CEBOLA CARAMELIZADA 140G	7898652584282	-	37898652584283	CAIXA
201	02.03.0041	BOLO DE CENOURA C/ COBERTURA - 2UN	7896061557132	-	30712345000010	CAIXA
201	02.03.0042	BAGUETE PARMESAO PERNIL - CX10UN	7898914427821	-	17898914427828	CAIXA
201	02.03.0043	BAGUETE GERGELIM CARNE MOIDA - CX 10UN	7898914427814	-	17898914427811	CAIXA
201	02.04.0001	MASSA CONGELADA DE PÃO FRANCÊS BOLA 62,5G - 50 UNIDADES - 3,125 KG	7898059712714	PCT		-
201	02.04.0002	MASSA CONGELADA DE PÃO DE HOT DOG 60G - 50 UNIDADES - 3,000 KG	7898059712721	PCT		-
201	02.04.0003	MASSA CONGELADA DE HAMBÚRGUER 70G - 35 UNIDADES - 2,450 KG	7898059712738	PCT		-
201	02.04.0004	FILAO DE LEITE 300G - 6 UNIDADES - 1,800KG	7898059712745	PCT		-
201	02.04.0005	PAO SOVADO 400G - 4 UNIDADES - 1,600KG	7898059712660	PCT		-
201	02.04.0006	BASTAO DOCE 160G - 10 UNIDADES - 1,600KG	7898059712677	PCT		-
201	02.04.0012	PAO DE MILHO BOLEADO - 5 KG	7898059712615	PCT		-
201	02.04.0013	PAO DE BATATA BOLEADO - 5 KG	7898059712622	PCT		-
201	02.04.0014	PAO DE CEBOLA BOLEADO - 5 KG	7898059712639	PCT		-
202	01.01.0001	MASSA CONGELADA DE PAO FRANCES RAPIDA - 5KG	7898694171204	PT		N/A
202	01.01.0002	MASSA CONGELADA DE PAO FRANCES MEDIA - 5KG	7898694171211	PT		N/A
202	01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	7898694171266	PT		N/A
202	01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	7898694171266	KG	17898694171263	-
202	01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	7898694171235	PT	17898694171232	N/A
